15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2610	1176
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3354	3162
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2940	2454
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2712	732
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2724	2442
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	1356	2640
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3258	2244
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2436	1632
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3078	1140
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3024	1404
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	1866	2244
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	918	3042
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3486	528
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2484	1080
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	1296	3318
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2664	1338
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3648	1104
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	1170	2844
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2808	2820
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	1380	2820
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3402	2040
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	1716	2208
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2406	2748
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3042	2112
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	1848	2394
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	936	2832
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	1356	3456
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3162	492
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	2010	1326
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3222	1848
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3030	498
15feb10d_a_00007gr_00054sq_00003hl_v01_00006ed-a	3192	1434
